epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1016,0.9103,4.16296,1.17535,0.07844,0.61858,0.10065,0.09421,0.22028,3.3141,0.76142,0.07672,0.00072,0.00072
2,20.2717,0.57847,3.55036,1.08809,0.03975,0.8056,0.19797,0.18909,0.25842,3.17556,0.77905,0.0524406,0.00144061,0.00144061
3,27.2476,0.57703,2.74329,1.08089,0.6787,0.24667,0.35221,0.33544,0.2803,2.57628,0.7864,0.0281312,0.00213124,0.00213124
4,34.0541,0.55304,2.21593,1.04781,0.59258,0.49106,0.62773,0.59481,0.29817,2.02784,0.77827,0.00379189,0.00279189,0.00279189
5,40.993,0.54434,1.88081,1.02361,0.46143,0.67788,0.62727,0.5785,0.36682,1.79227,0.8273,0.00276012,0.00276012,0.00276012
6,47.7494,0.52759,1.63978,1.01185,0.5933,0.89087,0.78286,0.72257,0.3791,1.43794,0.83766,0.00270015,0.00270015,0.00270015
7,54.6614,0.53971,1.52561,1.01969,0.79034,0.85088,0.8935,0.83743,0.34409,0.89448,0.79533,0.00264018,0.00264018,0.00264018
8,61.4582,0.49437,1.42456,0.99121,0.63199,0.85045,0.78321,0.75066,0.30594,1.19518,0.81437,0.00258021,0.00258021,0.00258021
9,68.1903,0.47263,1.3684,0.97879,0.84161,0.89804,0.92571,0.87249,0.30301,0.6748,0.80798,0.00252024,0.00252024,0.00252024
10,74.9621,0.46291,1.26921,0.97217,0.80666,0.90784,0.8896,0.84051,0.3007,0.76037,0.79518,0.00246027,0.00246027,0.00246027
11,81.6823,0.45017,1.20942,0.96616,0.83894,0.93714,0.92724,0.879,0.294,0.61543,0.79262,0.0024003,0.0024003,0.0024003
12,88.4808,0.46436,1.19178,0.97912,0.93903,0.93886,0.97487,0.94207,0.27346,0.5806,0.78399,0.00234033,0.00234033,0.00234033
13,95.1681,0.45276,1.17172,0.98181,0.90241,0.90999,0.95569,0.92566,0.293,0.52175,0.80406,0.00228036,0.00228036,0.00228036
14,101.891,0.44256,1.11629,0.97727,0.93003,0.97012,0.98365,0.95486,0.24061,0.44293,0.77595,0.00222039,0.00222039,0.00222039
15,108.569,0.43046,1.05882,0.96669,0.92071,0.94306,0.96464,0.93827,0.24171,0.51912,0.77564,0.00216042,0.00216042,0.00216042
16,115.256,0.4303,1.00644,0.95779,0.90097,0.94084,0.96633,0.93994,0.24346,0.48378,0.77145,0.00210045,0.00210045,0.00210045
17,122.063,0.41866,0.98489,0.95446,0.92261,0.96142,0.97916,0.95529,0.23496,0.43406,0.77326,0.00204048,0.00204048,0.00204048
18,128.725,0.41776,0.99113,0.95319,0.96172,0.96462,0.98056,0.95306,0.22165,0.41381,0.76188,0.00198051,0.00198051,0.00198051
19,135.533,0.40172,0.92094,0.94914,0.95573,0.95274,0.98267,0.96428,0.21713,0.4238,0.76569,0.00192054,0.00192054,0.00192054
20,142.215,0.41838,0.95534,0.96443,0.9797,0.97991,0.98771,0.96526,0.23138,0.36464,0.76688,0.00186057,0.00186057,0.00186057
21,148.995,0.39568,0.89508,0.95126,0.93052,0.95697,0.9695,0.95397,0.20712,0.4308,0.76178,0.0018006,0.0018006,0.0018006
22,155.694,0.39452,0.8648,0.94587,0.98287,0.96107,0.98892,0.96945,0.21035,0.3711,0.76711,0.00174063,0.00174063,0.00174063
23,162.424,0.38744,0.83771,0.93807,0.93973,0.99129,0.98921,0.95477,0.23441,0.38162,0.77002,0.00168066,0.00168066,0.00168066
24,169.272,0.37592,0.82172,0.93749,0.96549,0.98156,0.98863,0.97154,0.20769,0.34203,0.75524,0.00162069,0.00162069,0.00162069
25,175.939,0.37937,0.7879,0.93999,0.96054,0.98374,0.98522,0.96722,0.20688,0.36606,0.75909,0.00156072,0.00156072,0.00156072
26,182.713,0.37219,0.79803,0.93893,0.97618,0.98166,0.98972,0.97023,0.19691,0.33437,0.75372,0.00150075,0.00150075,0.00150075
27,189.342,0.3661,0.77175,0.93025,0.96232,0.97156,0.99205,0.98128,0.18726,0.33742,0.7529,0.00144078,0.00144078,0.00144078
28,196.068,0.37205,0.76814,0.93741,0.99373,0.97991,0.99454,0.98511,0.17919,0.29764,0.74784,0.00138081,0.00138081,0.00138081
29,202.806,0.3738,0.76128,0.93725,0.95089,0.96699,0.98654,0.9738,0.19073,0.3605,0.7558,0.00132084,0.00132084,0.00132084
30,209.48,0.35894,0.7335,0.93386,0.96247,0.96415,0.98833,0.97863,0.18231,0.31895,0.75041,0.00126087,0.00126087,0.00126087
31,216.168,0.34618,0.69893,0.92509,0.96155,0.97335,0.98835,0.97897,0.17783,0.31157,0.7483,0.0012009,0.0012009,0.0012009
32,222.838,0.33715,0.73524,0.91856,0.9891,0.9782,0.99076,0.97853,0.1776,0.2738,0.74306,0.00114093,0.00114093,0.00114093
33,229.595,0.33685,0.68985,0.9156,0.91543,0.94812,0.97919,0.96948,0.16449,0.37486,0.74503,0.00108096,0.00108096,0.00108096
34,236.298,0.34378,0.70086,0.92694,0.97923,0.97559,0.98396,0.96681,0.17584,0.30762,0.75307,0.00102099,0.00102099,0.00102099
35,243.013,0.34002,0.69681,0.9222,0.98555,0.97537,0.98863,0.97836,0.16975,0.28427,0.74767,0.00096102,0.00096102,0.00096102
36,249.638,0.32055,0.65764,0.91419,0.98844,0.97946,0.99213,0.98361,0.15558,0.26608,0.74135,0.00090105,0.00090105,0.00090105
37,256.317,0.31607,0.6656,0.90944,0.98871,0.98146,0.99219,0.98258,0.16685,0.27504,0.74691,0.00084108,0.00084108,0.00084108
38,263.03,0.32397,0.64517,0.91578,0.98336,0.98262,0.98971,0.97888,0.16159,0.26872,0.74694,0.00078111,0.00078111,0.00078111
